"文件名","标题","作者","期刊名","年份","卷号","期号","页码","DOI","关键词","摘要"
"A Star of David Catenane - Nat Chem - Vol6 - 2014 - Leigh Pritchard and Stephens.pdf","A Star of David catenane","David A. Leigh, Robin G. Pritchard, Alexander J. Stephens","Nature Chemistry","2014","6","11","978-982","10.1038/nchem.2056","coordination-driven self-assembly, catenane, circular helicate, Star of David, molecular topology, iron(II), tris(bipyridine), ring-closing metathesis","本文描述了一种[2]索烃（catenane）的合成，该索烃由两个三重缠绕的114元环组成，形成分子6_1^2连环（Star of David拓扑结构）。编织骨架是一个六聚体环状螺旋体，由六个三(联吡啶)配体与六个铁(II)阳离子组装而成，硫酸根反离子促进了螺旋体的尺寸。配体延伸部分的结构指导了后续通过烯烃闭环复分解反应进行的共价捕获。Star of David拓扑结构（两个环，六个交叉点）通过NMR光谱、质谱和X射线晶体学确认。用四钠乙二胺四乙酸盐提取铁(II)离子可获得完全有机的分子连环。交织环形框架的自组装及其通过多次定向共价键形成反应的后续闭合，为合成日益复杂的分子拓扑结构提供了强有力的策略。"
"Aggregation-Induced Emission Platinum(II) Metallacycles Detecting Nitroaromatics - Chem Eur J - Vol22 - 2016 - Chowdhury et al.pdf","Aggregation-Induced Emission of Platinum(II) Metallacycles and Their Ability to Detect Nitroaromatics","Aniket Chowdhury, Prodip Howlader, Partha Sarathi Mukherjee","Chemistry - A European Journal","2016","22","22","7468-7478","10.1002/chem.201600698","Aggregation-induced emission (AIE), Platinum(II) metallacycles, Coordination-driven self-assembly, Nitroaromatics detection, White-light emission, Macrocycles, Carbazole, Triphenylamine, Fluorescence sensing","Two new acceptors containing platinum-carbazole (1) and platinum-triphenylamine (2) backbones with bite angles of 90° and 120°, respectively, have been synthesised and characterised. Reactions of the rigid acceptor 1 with linear dipyridyl-based donors (3 and 4) generated [4+4] self-assembled molecular squares (5 and 6), and similar treatments with acceptor 2 instead of 1 yielded [6+6] self-assembled molecular hexagons (7 and 8). The metallacycles were characterised by multinuclear NMR spectroscopy (1H and 31P) and ESI-MS. When aggregates of the metallacycles were formed by adding hexane solutions in dichloromethane, aggregation-induced emission was observed for metallacycles 5 and 7, and aggregation-caused quenching was observed for metallacycles 6 and 8. Macrocycles 5 and 7 are white-light emitters in THF. Moreover, their high luminescence in both solution and the solid state was utilised for the recognition of nitroaromatic explosives."
"Alanine-Based Chiral Metallogels via Supramolecular Coordination Complex - J Am Chem Soc - Vol140 - 2018 - Sun et al.pdf","Alanine-Based Chiral Metallogels via Supramolecular Coordination Complex Platforms: Metallogelation Induced Chirality Transfer","Yue Sun, Shuai Li, Zhixuan Zhou, Manik Lal Saha, Sougata Datta, Mingming Zhang, Xuzhou Yan, Demei Tian, Heng Wang, Lei Wang, Xiaopeng Li, Minghua Liu, Haibing Li, Peter J. Stang","Journal of the American Chemical Society","2018","140","9","3257-3263","10.1021/jacs.7b10769","Chiral metallogels, Supramolecular coordination complex, Coordination-driven self-assembly, Chirality transfer, Alanine, Platinum(II) metallacycles, Nanofibers, Helicity, Gelation","Chiral self-assemblies constantly attract great interest because of their potential to provide insight into biological systems and materials science. Herein we report on the efficient preparation of alanine-based chiral metallacycles, rhomboids 1D and 1L and hexagons 2D and 2L using a Pt(II) <- pyridyl directional bonding approach. The metallacycles are subsequently assembled into nanospheres at low concentration, that generate chiral metallogels at high concentration driven by hydrogen bonding, hydrophobic and pi-pi interactions. The gels consist of microscopic chiral nanofibers with well-defined helicity, as confirmed by circular dichroism (CD) and scanning (SEM) and transmission electron (TEM) microscopies. Given these results, we expect this technique will not only unlock interesting new approaches to understand homochirality in nature but also allow the design of versatile soft materials containing chiral supramolecular cores."
"Allosteric Initiation and Regulation of Catalysis with a Molecular Knot - Science - Vol352 - 2016 - Marcos and Leigh.pdf","Allosteric Initiation and Regulation of Catalysis with a Molecular Knot","Vanesa Marcos, Alexander J. Stephens, Javier Jaramillo-Garcia, Annabel L. Nussbaumer, Steffen L. Woltering, Alberto Valero, Jean-Francois Lemonnier, Inigo J. Vitorica-Yrezabal, David A. Leigh","Science","2016","352","6293","1555-1559","10.1126/science.aaf3673","molecular knot, pentafoil knot, allosteric catalysis, coordination-driven self-assembly, bipyridine, iron(II), zinc(II), ring-closing metathesis, anion binding","本文报道了一种合成的分子五叶结（pentafoil knot），通过控制碳-卤键的结断裂来变构启动或调控催化化学反应。研究者首先通过五组分自组装制备了铁(II)五聚体环状螺旋体，随后通过烯烃闭环复分解反应获得了共价闭合的五叶结。脱除铁(II)离子后获得无金属的打结配体，该配体可与锌(II)离子重新配位形成锌(II)-五叶结。这种分子拓扑结构产生的变构效应为催化提供了新的控制机制，展示了分子打结在功能化学中的潜在应用。"
"An Antiaromatic-Walled Nanospace - Nature - Vol574 - 2019 - Yamashina and Nitschke.pdf","An antiaromatic-walled nanospace","Masahiro Yamashina, Yuya Tanaka, Roy Lavendomme, Tanya K. Ronson, Michael Pittelkow, Jonathan R. Nitschke","Nature","2019","574","7779","511-515","10.1038/s41586-019-1661-x","antiaromaticity, coordination cage, nanospace, norcorrole, self-assembly, NMR shift reagent, host-guest chemistry, iron(II), deshielding effect","在过去几十年中，已报道了多种分子笼、主体和纳米多孔材料，其中包括配位驱动的纳米笼。然而，被反芳香性壁包围的纳米空间尚未被开发，原因在于反芳香族化合物的不稳定性。本文展示了在一个由四个金属离子和六个相同的反芳香性壁组成的自组装笼内构建反芳香性壁纳米空间。计算表明，围绕该纳米空间的反芳香性基团的磁效应相互增强。这一预测通过结合客体分子的1H NMR信号得到证实，其化学位移值高达24 ppm，这是迄今为止在反芳香性环境中观测到的最大1H NMR化学位移偏移。该笼可被视为一种新型NMR位移试剂。"
"An M24L48 Polyhedron with Sharp Structural Switch - Science - Vol328 - 2010 - Sun et al.pdf","Self-assembly of tetravalent Goldberg polyhedra from 144 small components","Daishi Fujita, Yoshihiro Ueda, Sota Sato, Nobuhiro Mizuno, Takashi Kumasaka, Makoto Fujita","Nature","2016","540","7634","563-566","10.1038/nature20771","Goldberg polyhedra, Tetravalent, Self-assembly, Palladium(II), M30L60, M48L96, Graph theory, Coordination cage, Supramolecular chemistry, Virus capsid mimicry","本文报道了一种球形结构的自组装，该结构含有30个钯离子和60个弯曲有机配体，但属于此前从未在实验中观察到的形状家族。新结构由8个三角形和24个正方形组成，具有四价Goldberg多面体的对称性。柏拉图和阿基米德多面体以及三价Goldberg多面体（如病毒衣壳和富勒烯）此前已通过自组装制备，但四价Goldberg多面体在分子水平上尚无先例，尽管其拓扑结构已通过图论预测。作者利用图论预测了更大的四价Goldberg多面体的自组装，并成功从144个组分（48个钯离子和96个弯曲配体）组装出该多面体家族的另一个成员（M48L96）。"
"Assembling Pentatopic Terpyridine Ligands into Giant Supramolecular - J Am Chem Soc - Vol141 - 2019 - Wang et al.pdf","Assembling Pentatopic Terpyridine Ligands with Three Types of Coordination Moieties into a Giant Supramolecular Hexagonal Prism: Synthesis, Self-Assembly, Characterization, and Antimicrobial Study","Heng Wang, Chung-Hao Liu, Kun Wang, Minghui Wang, Hao Yu, Sneha Kandapal, Robert Brzozowski, Bingqian Xu, Ming Wang, Shuai Lu, Xin-Qi Hao, Prahathees Eswara, Mu-Ping Nieh, Jianfeng Cai, Xiaopeng Li","Journal of the American Chemical Society","2019","141","40","16108-16116","10.1021/jacs.9b08484","terpyridine, coordination-driven self-assembly, hexagonal prism, supramolecular chemistry, antimicrobial, Kandinsky Circles, pentatopic ligand, 3D supramolecules, TWIM-MS, hierarchical self-assembly","Three dimensional (3D) supramolecules with giant cavities are attractive due to their wide range of applications. Herein, we used pentatopic terpyridine ligands with three types of coordination moieties to assemble two giant supramolecular hexagonal prisms with a molecular weight up to 42,608 and 43,569 Da, respectively. Within the prisms, two double-rimmed Kandinsky Circles serve as the base surfaces as well as the templates for assisting the self-sorting during the self-assembly. Additionally, hierarchical self-assembly of these supramolecular prisms into tubular-like nanostructures was fully studied by scanning tunneling microscopy (STM) and small-angle X-ray scattering (SAXS). Finally, these supramolecular prisms show good antimicrobial activities against Gram-positive pathogen methicillin-resistant Staphylococcus aureus (MRSA) and Bacillus subtilis (B. subtilis)."
"Braiding a Molecular Knot with Eight Crossings - Science - Vol355 - 2017 - Danon and Leigh.pdf","Braiding a molecular knot with eight crossings","Jonathan J. Danon, Anneke Kruger, David A. Leigh, Jean-Francois Lemonnier, Alexander J. Stephens, Inigo J. Vitorica-Yrezabal, Steffen L. Woltering","Science","2017","355","6321","159-162","10.1126/science.aal1619","molecular knot, 8_19 knot, braiding, triple helicate, coordination-driven self-assembly, iron(II), bipyridine, topological chirality, circular dichroism","分子结可能最终在纳米尺度上表现出与宏观尺度上同样的多功能性和实用性。然而，目前缺乏除最简单分子结以外的合成路线，阻碍了对分子水平上打结影响的系统研究。本文发现可以将四个构建单元组装成三条编织的配体链。八面体铁(II)离子控制三条链在每个交叉点的相对位置，形成环状三重螺旋体，而配体上的结构约束决定了编织连接方式。该方法实现了分子8_19结的两步组装，在约20纳米长的192原子闭环中具有八个非交替交叉点。拆分的无金属8_19结对映异构体在其圆二色谱中表现出仅由拓扑手性产生的显著特征。"
"Chemical Mimicry of Viral Capsid Self-Assembly via Corannulene Pentatopic Tectons - Nat Commun - Vol10 - 2019 - Chen et al.pdf","Chemical Mimicry of Viral Capsid Self-Assembly via Corannulene-Based Pentatopic Tectons","Yu-Sheng Chen, Ephrath Solel, Yi-Fan Huang, Chien-Lung Wang, Tsung-Han Tu, Ehud Keinan, Yi-Tsu Chan","Nature Communications","2019","10","1","3443","10.1038/s41467-019-11457-6","corannulene, pentatopic tecton, viral capsid, icosahedral self-assembly, terpyridine, cadmium, chiral self-sorting, supramolecular capsid, buckybowl, coordination-driven self-assembly","Self-assembly of twelve pentatopic tectons, which have complementary edges or can be linked using either digonal or trigonal connectors, represents the optimal synthetic strategy to achieve spherical objects, such as chemical capsids. This process requires conditions that secure uninterrupted equilibria of binding and self-correction en route to the global energy minimum. Here we report the synthesis of a highly soluble, deca-heterosubstituted corannulene that bears five terpyridine ligands. Spontaneous self-assembly of twelve such tectons with 30 cadmium(II) cations produces a giant icosahedral capsid as a thermodynamically stable single product in high yield. Nuclear magnetic resonance (NMR) methods, mass spectrometry analyses, small-angle X-ray scattering, transmission electron microscopy, and atomic force microscopy indicate that this spherical capsid has an external diameter of nearly 6 nm and shell thickness of 1 nm, in agreement with molecular modeling. NMR and liquid chromatography evidences imply that chiral self-sorting complexation generates a racemic mixture of homochiral capsids."
"Chemistry A European J - 2024 - Luo - Construction of Luminescent Terpyridine‐Based Metallo‐Bowties with Alkyl.pdf","Construction of Luminescent Terpyridine-Based Metallo-Bowties with Alkyl Chain-Bridged Dimerized Building Blocks","Siqi Luo, Lingang Zhao, Zhikai Li, Zhi Chen, Heng Wang, Fang Fang, Hang Li, Xiaopeng Li, Xiujun Yu","Chemistry – A European Journal","2025","31","7","e202403783","10.1002/chem.202403783","terpyridine, metallo-supramolecules, coordination-driven self-assembly, luminescence, aggregation-induced emission (AIE), bowtie-shaped architecture, alkyl chain bridging, tetraphenylethylene (TPE)","Numerous metallo-supramolecules with well-defined sizes and shapes have been successfully constructed via the strong coordination interaction between terpyridine (TPY) moieties and ruthenium cations. However, the pseudo-octahedral geometry of <TPY-Ru-TPY> unit hampers the luminescent properties of such metallo-architectures, thus limiting their applications as optical materials. To address this issue, we herein use a flexible alkyl chain to bridge TPY building blocks, replacing conventional <TPY-Ru-TPY> linkage. The introduction of alkyl chain guides the self-assembly into desired architecture while simultaneously eliminating the quenching effects typically associated with the <TPY-Ru-TPY> linkage. More importantly, this design strategy enables the precise construction of bowtie-shaped metallo-supramolecules with significantly enhanced emission. The incorporation of alkyl chain linkage not only maintains structural integrity but also enhances optical performance, making these metallo-supramolecular assemblies highly promising for applications in advanced photonic and luminescent materials. This study offers a versatile approach to construct complex metallo-supramolecular architectures with desired optical properties."
